WKT,COMID,FDATE,RESOLUTION,GNIS_ID,GNIS_NAME,LENGTHKM,REACHCODE,FLOWDIR,WBAREACOMI,FTYPE,FCODE,SHAPE_LENG,ENABLED,GNIS_NBR,Shape_Length,PlusFlowlineVAA_OID,PlusFlowlineVAA_ComID,PlusFlowlineVAA_Fdate,PlusFlowlineVAA_StreamLeve,PlusFlowlineVAA_StreamOrde,PlusFlowlineVAA_StreamCalc,PlusFlowlineVAA_FromNode,PlusFlowlineVAA_ToNode,PlusFlowlineVAA_Hydroseq,PlusFlowlineVAA_LevelPathI,PlusFlowlineVAA_Pathlength,PlusFlowlineVAA_TerminalPa,PlusFlowlineVAA_ArbolateSu,PlusFlowlineVAA_Divergence,PlusFlowlineVAA_StartFlag,PlusFlowlineVAA_TerminalFl,PlusFlowlineVAA_DnLevel,PlusFlowlineVAA_ThinnerCod,PlusFlowlineVAA_UpLevelPat,PlusFlowlineVAA_UpHydroseq,PlusFlowlineVAA_DnLevelPat,PlusFlowlineVAA_DnMinorHyd,PlusFlowlineVAA_DnDrainCou,PlusFlowlineVAA_DnHydroseq,PlusFlowlineVAA_FromMeas,PlusFlowlineVAA_ToMeas,PlusFlowlineVAA_ReachCode,PlusFlowlineVAA_LengthKM,PlusFlowlineVAA_Fcode,PlusFlowlineVAA_RtnDiv,PlusFlowlineVAA_OutDiv,PlusFlowlineVAA_DivEffect,PlusFlowlineVAA_VPUIn,PlusFlowlineVAA_VPUOut,PlusFlowlineVAA_TravTime,PlusFlowlineVAA_PathTime,PlusFlowlineVAA_AreaSqKM,PlusFlowlineVAA_TotDASqKM,PlusFlowlineVAA_DivDASqKM,COMID_1,ftype
"MULTILINESTRING ((-82.866906981771763 36.845266275618201 0,-82.867419714947857 36.844945875951453 0,-82.868160115097169 36.844739808895099 0,-82.868985981417893 36.844373609454578 0,-82.870580915576738 36.844373475455598 0,-82.871121981893907 36.844579475962121 0,-82.872118714906719 36.845495075737233 0,-82.87217571483734 36.845655408670211 0,-82.87237511521937 36.845746876017586 0,-82.872773715434562 36.845769808729756 0,-82.873030114847893 36.84570107534438 0,-82.873343381991447 36.845426408901687 0,-82.873941514789067 36.844030009077699 0,-82.874539381387308 36.843503608904484 0,-82.874881182220747 36.84332040890979 0,-82.875279781536676 36.843183008688925 0,-82.876248181408414 36.84322867536315 0,-82.876760714935017 36.843366009034128 0,-82.87701698214795 36.843549209028822 0,-82.877130915459361 36.843846675983343 0,-82.878042315400478 36.844556276151252 0,-82.878327181953864 36.844647809149137 0,-82.880605515432137 36.844762008659814 0,-82.880861781745807 36.844853476007188 0,-82.881431381752805 36.844693208724664 0,-82.881801581377829 36.844693208724664 0,-82.882114981621044 36.845059409064504 0,-82.882513581836292 36.845311209344914 0,-82.883652914950005 36.845677209135943 0,-82.884137115335591 36.845539808915078 0,-82.884763582173548 36.845265009372724 0,-82.885731915495455 36.845036008704881 0,-82.886244514672569 36.84503587560522 0,-82.886785515339227 36.845287609335742 0,-82.886984914821937 36.845493608942945 0,-82.88758298196899 36.845630808614999 0,-82.888067114905368 36.845630675515338 0))",22539134,6/17/1999,Medium,1485901,North Fork Powell River,2.28,06010206000833,With Digitized,0,StreamRiver,46006,0.024329347,TRUE,0,0.024329348,21558,22539134,6/9/2012,6,1,1,470034545,470034544,470027742,470007574,2946.55,350002977,3.819,0,0,0,5,0,470007574,470035715,470007574,0,1,470023295,0,100,6.01E+12,2.28,46006,0,0,0,0,0,0,0,3.0798,6.435,6.435,0,nhdplus_waterline
"MULTILINESTRING ((-82.722006915087036 36.998846408934696 0,-82.722262915201327 36.998136475118258 0,-82.722261582406077 36.997289475628861 0,-82.721830515765646 36.995069475775722 0,-82.72128671550945 36.993925475180561 0,-82.720829515469745 36.993513808715363 0,-82.720286115411852 36.992553009014216 0,-82.720257182422984 36.992278275122374 0,-82.720827181729021 36.991728408938968 0,-82.72216718236956 36.990971808402264 0,-82.72239518209193 36.99069687576025 0,-82.722422915385209 36.990101675651886 0,-82.722792382062721 36.989139875904584 0,-82.722847915199111 36.98792667517597 0,-82.723103182365946 36.986919275304388 0,-82.723672581824133 36.986003075681424 0,-82.724784315643603 36.985200875919759 0,-82.7255257823889 36.984925475630234 0,-82.726780915806557 36.984764075201952 0,-82.727237182350052 36.984557675396445 0,-82.727664182256149 36.983893409153552 0,-82.72794798221355 36.982885875282989 0,-82.7287455153932 36.981900875724875 0,-82.730740182013733 36.980205008854114 0,-82.731338782458806 36.979861075728138 0,-82.732707582089176 36.979378875434804 0,-82.733049114924654 36.978829275450778 0,-82.733076982216915 36.978348475401845 0,-82.732961982309575 36.977822209227611 0,-82.732532715212585 36.976952675425707 0,-82.732560315406204 36.976357608416947 0,-82.733129915413201 36.975647408401244 0,-82.735125982278248 36.974981475714571 0,-82.735467915312029 36.974706475623407 0,-82.735809315047788 36.974156675090512 0,-82.735751115421579 36.973401409147755 0,-82.734979315443013 36.97239500842295 0,-82.734635715066133 36.971571275294195 0,-82.734492715666249 36.971365408786653 0,-82.734377981958289 36.971022208608076 0,-82.733778181817627 36.970519208794485 0,-82.733663915757063 36.970336075349678 0,-82.73363438202108 36.969764008502239 0,-82.733433582293969 36.969008809109312 0,-82.733319315334086 36.968871608537938 0,-82.733290315795387 36.968619809156905 0))",22538852,6/17/1999,Medium,1486657,Roaring Fork,4.161,06010206000260,With Digitized,0,StreamRiver,46006,0.040212591,TRUE,0,0.040212591,21024,22538852,6/9/2012,6,2,2,470034465,470034468,470018434,470013125,2969.825,350002977,16.387,0,0,0,5,0,470013125,470020454,470013125,0,1,470016875,0,100,6.01E+12,4.161,46006,0,0,0,0,0,0,0,7.6158,22.8735,22.8735,0,nhdplus_waterline
"MULTILINESTRING ((-82.438645382578329 36.911801875256401 0,-82.437390715908748 36.911550875372654 0,-82.436136315438546 36.91155160921943 0,-82.436107782648037 36.911620409154636 0))",14639043,6/17/1999,Medium,1483858,Guest River,0.233,06010205000249,With Digitized,0,StreamRiver,46006,0.002608409,TRUE,0,0.00260841,18779,14639043,6/9/2012,5,4,4,470003278,470003279,470008314,470007392,2909.324,350002977,233.945,0,0,0,4,0,470007392,470008535,470007392,0,1,470008105,0,100,6.01E+12,0.233,46006,0,0,0,0,0,0,0,0.0666,234.45,234.45,0,nhdplus_waterline
"MULTILINESTRING ((-81.767098316534032 37.148945208154885 0,-81.765669917032994 37.147570208598324 0,-81.765356116591477 37.147089074900919 0,-81.765157516606052 37.145875474873321 0,-81.764843717063854 37.145348608851293 0,-81.762244383171719 37.143125408310993 0,-81.761130583609486 37.142025475395428 0,-81.759958917170252 37.141406208529759 0,-81.759330383690212 37.140970608406917 0,-81.758816316819548 37.14046640889768 0,-81.755847983897297 37.136571408243924 0,-81.755420383244029 37.135746675069072 0,-81.754908316465617 37.134074808405728 0,-81.75413771708196 37.133020874913484 0,-81.753682716783942 37.131555208406212 0,-81.753683183532075 37.131188808416823 0,-81.753170983653945 37.129539875365026 0,-81.752944383276656 37.128188808566733 0,-81.752374983818413 37.126631408512765 0,-81.752032783685991 37.126081474880209 0,-81.751547383604816 37.125646075306179 0,-81.751032983984999 37.125462408563351 0))",14637427,4/2/2009,Medium,1497682,Long Branch,3.083,06010205001278,With Digitized,0,StreamRiver,46003,0.029578005,TRUE,0,0.029578004,19867,14637427,6/9/2012,6,1,1,470037280,470002897,470057219,470057219,3034.445,350002977,3.083,0,1,0,4,0,0,0,470020203,0,1,470022917,0,100,6.01E+12,3.083,46003,0,0,0,0,0,0,0,2.1492,2.1492,2.1492,0,nhdplus_waterline
"MULTILINESTRING ((-82.159456916603403 36.746902275719492 0,-82.159599183055832 36.746993809616697 0,-82.159798783087354 36.747749276108266 0,-82.160197383302545 36.748184075834502 0,-82.161107783197622 36.748321075857007 0,-82.1621605160949 36.74813760876367 0,-82.162814583126476 36.7477480755133 0,-82.16335498304602 36.747564808968832 0,-82.166000582560798 36.74708280922431 0,-82.166996183327171 36.747013675640687 0,-82.167935316561568 36.747310875496566 0,-82.168333716228005 36.747333609458565 0,-82.168788716526024 36.74712740930255 0,-82.169129983162179 36.746852608860877 0,-82.169783716545226 36.746050875847288 0,-82.170721982833186 36.745317808769926 0,-82.171518515966682 36.745134276026079 0,-82.172115983265996 36.745271409148245 0,-82.172997916020961 36.745248008788622 0,-82.173964983097449 36.745064409494944 0,-82.17419238297208 36.744835275727439 0,-82.175215116284562 36.742911608783743 0,-82.175442582708968 36.742774075463274 0,-82.17618218246173 36.742728009490122 0,-82.176893583072342 36.743002408834172 0,-82.17780418261691 36.743185075530846 0,-82.178572316059501 36.743161676070542 0,-82.17934011585362 36.742772209370003 0,-82.180648383016432 36.742496675980874 0,-82.181728983205971 36.741946675798488 0,-82.184260116111432 36.741235409186856 0,-82.185084983285321 36.740891476060824 0,-82.185312316610066 36.740616675619151 0,-82.18528238267578 36.738991075477827 0,-82.185481183210015 36.738693408873758 0,-82.185907583268317 36.738441275844252 0))",19762416,6/17/1999,Medium,1487340,Smith Creek,3.042,06010101000318,With Digitized,0,StreamRiver,46006,0.032129797,TRUE,0,0.032129797,902,19762416,6/9/2012,6,3,3,470028682,470028685,470017119,470017119,2971.103,350002977,33.047,0,0,0,4,0,470017119,470029006,470002399,0,1,470003206,0,100,6.01E+12,3.042,46006,0,0,0,0,0,0,0,4.059,37.6893,37.6893,0,nhdplus_waterline
"MULTILINESTRING ((-81.799743916348632 36.941305409317238 0,-81.800171917200203 36.941145409133355 0,-81.801255717177582 36.941077275595831 0,-81.802510583496598 36.941375608597525 0,-81.803109516690824 36.941376008795828 0,-81.803879916424989 36.941033009166119 0,-81.804707316989038 36.940873208631729 0,-81.805477583623542 36.94055307516436 0,-81.805734183585685 36.940690608484829 0,-81.80590518337749 36.940919675702503 0,-81.806361516470758 36.940942808963541 0,-81.807017716694247 36.940828608553488 0,-81.808272783562074 36.940829209300603 0,-81.808986116815788 36.940623475892778 0,-81.810897383007784 36.940235208887827 0,-81.811667983290761 36.939731875425764 0,-81.81218131721397 36.939663475688917 0,-81.812694716787689 36.939732408723728 0,-81.813036783820451 36.939961475941402 0,-81.813207983261805 36.939961609041063 0,-81.813407716392987 36.939847208981575 0,-81.813863983835745 36.939824609018558 0,-81.814377717057937 36.939481408839981 0,-81.814863783536737 36.938153609301708 0,-81.815091916358824 36.938085009015992 0))",19761296,9/13/1999,Medium,1488009,Tumbling Creek,1.578,06010101000615,With Digitized,0,StreamRiver,46006,0.017095734,TRUE,0,0.017095735,262,19761296,6/9/2012,6,2,2,470028370,470028376,470029121,470005793,3027.007,350002977,5.89,0,0,0,5,0,470005793,470040086,470005793,0,1,470020915,0,100,6.01E+12,1.578,46006,0,0,0,0,0,0,0,3.5631,8.82,8.82,0,nhdplus_waterline
"MULTILINESTRING ((-81.655314383951634 36.619387276002044 0,-81.657246384013376 36.620577276020526 0,-81.658439783469191 36.620966209423102 0,-81.660399983572347 36.621400608950978 0,-81.660911383953191 36.621766809290875 0,-81.66156531698573 36.622957276057491 0,-81.662048517325161 36.623392209782708 0,-81.662389383763013 36.623392009233896 0,-81.663695917032896 36.623002409433695 0,-81.664434383639843 36.623024876297052 0,-81.665059516783231 36.623230809354425 0,-81.666480584111639 36.624398076310229 0))",19751803,9/13/1999,Medium,1483796,Green Cove Creek,1.244,06010102000395,With Digitized,0,StreamRiver,46006,0.013109617,TRUE,0,0.013109617,1381,19751803,6/9/2012,6,2,2,470027577,470027565,470020978,470017167,3029.331,350002977,10.96,0,0,0,5,0,470017167,470040575,470017167,470018819,2,470018820,0,100,6.01E+12,1.244,46006,0,0,0,0,0,0,0,0.8379,14.9616,14.9616,0,nhdplus_waterline
"MULTILINESTRING ((-82.784438315575755 37.003954075220463 0,-82.784952181897665 37.0035196091427 0,-82.785579981530873 37.00329120922197 0,-82.78683551514689 37.003063208600224 0,-82.787291781690328 37.002720208970516 0,-82.788318782285955 37.00237760863979 0,-82.788660914969228 37.002080075135439 0,-82.788774781730751 37.001714008794522 0,-82.789117181512665 37.001370875165833 0,-82.789060714880065 37.00011027566876 0))",22538712,6/17/1999,Medium,1482229,Callahan Creek,0.672,06010206000792,With Digitized,0,StreamRiver,46003,0.006853882,TRUE,0,0.00685388,21546,22538712,6/9/2012,6,1,1,470058404,470034462,470036098,470013831,2968.294,350002977,0.671,0,1,0,5,0,0,0,470013831,0,1,470027758,59.93457,100,6.01E+12,0.672,46003,0,0,0,0,0,0,0,0.8199,0.8199,0.8199,0,nhdplus_waterline
"MULTILINESTRING ((-81.836690916852319 36.862192275553127 0,-81.83663411657119 36.861848875725059 0,-81.83671971674147 36.861459676123218 0,-81.836606117078588 36.860681075471291 0))",19761590,9/13/1999,Medium,1487063,North Fork Holston River,0.171,06010101000123,With Digitized,0,StreamRiver,46006,0.001533412,TRUE,0,0.001533412,676,19761590,6/9/2012,5,4,4,470028464,470028469,470005715,470002399,3015.52,350002977,606.456,0,0,0,4,0,470002399,470005872,470002399,470005644,2,470005645,0,100,6.01E+12,0.171,46006,1,0,0,0,0,0,0,0.0549,743.3487,743.3487,0,nhdplus_waterline
"MULTILINESTRING ((-82.866906981771763 36.845266275618201 0,-82.867419714947857 36.844945875951453 0,-82.868160115097169 36.844739808895099 0,-82.868985981417893 36.844373609454578 0,-82.870580915576738 36.844373475455598 0,-82.871121981893907 36.844579475962121 0,-82.872118714906719 36.845495075737233 0,-82.87217571483734 36.845655408670211 0,-82.87237511521937 36.845746876017586 0,-82.872773715434562 36.845769808729756 0,-82.873030114847893 36.84570107534438 0,-82.873343381991447 36.845426408901687 0,-82.873941514789067 36.844030009077699 0,-82.874539381387308 36.843503608904484 0,-82.874881182220747 36.84332040890979 0,-82.875279781536676 36.843183008688925 0,-82.876248181408414 36.84322867536315 0,-82.876760714935017 36.843366009034128 0,-82.87701698214795 36.843549209028822 0,-82.877130915459361 36.843846675983343 0,-82.878042315400478 36.844556276151252 0,-82.878327181953864 36.844647809149137 0,-82.880605515432137 36.844762008659814 0,-82.880861781745807 36.844853476007188 0,-82.881431381752805 36.844693208724664 0,-82.881801581377829 36.844693208724664 0,-82.882114981621044 36.845059409064504 0,-82.882513581836292 36.845311209344914 0,-82.883652914950005 36.845677209135943 0,-82.884137115335591 36.845539808915078 0,-82.884763582173548 36.845265009372724 0,-82.885731915495455 36.845036008704881 0,-82.886244514672569 36.84503587560522 0,-82.886785515339227 36.845287609335742 0,-82.886984914821937 36.845493608942945 0,-82.88758298196899 36.845630808614999 0,-82.888067114905368 36.845630675515338 0))",22539134,6/17/1999,Medium,1485901,North Fork Powell River,2.28,06010206000833,With Digitized,0,StreamRiver,46006,0.024329347,TRUE,0,0.024329348,21558,22539134,6/9/2012,6,1,1,470034545,470034544,470027742,470007574,2946.55,350002977,3.819,0,0,0,5,0,470007574,470035715,470007574,0,1,470023295,0,100,6.01E+12,2.28,46006,0,0,0,0,0,0,0,3.0798,6.435,6.435,0,nhdplus_waterline
"MULTILINESTRING ((-82.851960181916809 36.85144880891545 0,-82.853679514797705 36.850623275343935 0,-82.855237315050033 36.850160408675947 0,-82.856729515154939 36.849808208981699 0,-82.857472181595881 36.849495075837126 0,-82.858751781969147 36.848817209146944 0,-82.860472581644274 36.848050208850111 0,-82.862371781632362 36.847609275747516 0,-82.864238915393571 36.847251075776569 0,-82.865528382229002 36.846984076054298 0,-82.86602038153535 36.846181476094273 0,-82.866906981771763 36.845266275618201 0))",24850232,3/15/2009,Medium,1485901,North Fork Powell River,1.539,06010206000841,With Digitized,22538796,ArtificialPath,55800,0.016586942,TRUE,0,0.016586943,21563,24850232,6/9/2012,6,1,1,470058787,470034545,470035715,470007574,2948.83,350002977,1.539,0,1,0,5,0,0,0,470007574,0,1,470027742,0,100,6.01E+12,1.539,55800,0,0,0,0,0,0,0,3.3552,3.3552,3.3552,0,nhdplus_waterline
"MULTILINESTRING ((-82.866906981771763 36.845266275618201 0,-82.867419714947857 36.844945875951453 0,-82.868160115097169 36.844739808895099 0,-82.868985981417893 36.844373609454578 0,-82.870580915576738 36.844373475455598 0,-82.871121981893907 36.844579475962121 0,-82.872118714906719 36.845495075737233 0,-82.87217571483734 36.845655408670211 0,-82.87237511521937 36.845746876017586 0,-82.872773715434562 36.845769808729756 0,-82.873030114847893 36.84570107534438 0,-82.873343381991447 36.845426408901687 0,-82.873941514789067 36.844030009077699 0,-82.874539381387308 36.843503608904484 0,-82.874881182220747 36.84332040890979 0,-82.875279781536676 36.843183008688925 0,-82.876248181408414 36.84322867536315 0,-82.876760714935017 36.843366009034128 0,-82.87701698214795 36.843549209028822 0,-82.877130915459361 36.843846675983343 0,-82.878042315400478 36.844556276151252 0,-82.878327181953864 36.844647809149137 0,-82.880605515432137 36.844762008659814 0,-82.880861781745807 36.844853476007188 0,-82.881431381752805 36.844693208724664 0,-82.881801581377829 36.844693208724664 0,-82.882114981621044 36.845059409064504 0,-82.882513581836292 36.845311209344914 0,-82.883652914950005 36.845677209135943 0,-82.884137115335591 36.845539808915078 0,-82.884763582173548 36.845265009372724 0,-82.885731915495455 36.845036008704881 0,-82.886244514672569 36.84503587560522 0,-82.886785515339227 36.845287609335742 0,-82.886984914821937 36.845493608942945 0,-82.88758298196899 36.845630808614999 0,-82.888067114905368 36.845630675515338 0))",22539134,6/17/1999,Medium,1485901,North Fork Powell River,2.28,06010206000833,With Digitized,0,StreamRiver,46006,0.024329347,TRUE,0,0.024329348,21558,22539134,6/9/2012,6,1,1,470034545,470034544,470027742,470007574,2946.55,350002977,3.819,0,0,0,5,0,470007574,470035715,470007574,0,1,470023295,0,100,6.01E+12,2.28,46006,0,0,0,0,0,0,0,3.0798,6.435,6.435,0,nhdplus_waterline
"MULTILINESTRING ((-82.884247915408935 36.826678409481076 0,-82.884760515485368 36.827342075876174 0,-82.884902981587288 36.828005875370877 0,-82.884817715065481 36.828852875759651 0,-82.884561581851472 36.829676875987104 0,-82.884618781431584 36.830867208754739 0,-82.885017514746494 36.831531009148819 0,-82.885587114753491 36.832171809381578 0,-82.886441381664383 36.833316209275665 0,-82.886640981695905 36.83443767555832 0,-82.887096714941379 36.83503280911691 0,-82.887381581494765 36.835719475673329 0,-82.887581181526286 36.836749475507929 0,-82.887666582047075 36.836795208731928 0,-82.887923115459387 36.837573409185552 0,-82.887837915487353 36.838443275736665 0,-82.887666981346058 36.838786675564677 0,-82.887353914751316 36.839130075392745 0,-82.886898382054653 36.839954208719803 0,-82.886784714942621 36.840526476116054 0,-82.887098181735666 36.842151676059075 0,-82.888067114905368 36.845630675515338 0))",22539212,6/17/1999,Medium,,,2.242,06010206000562,With Digitized,0,StreamRiver,46006,0.02059465,TRUE,0,0.02059465,21312,22539212,6/9/2012,7,1,1,470058492,470034544,470036010,470036010,2946.55,350002977,2.242,0,1,0,5,0,0,0,470007574,0,1,470023295,0,100,6.01E+12,2.242,46006,0,0,0,0,0,0,0,2.6145,2.6145,2.6145,0,nhdplus_waterline
"MULTILINESTRING ((-82.888067114905368 36.845630675515338 0,-82.888408914839488 36.845653609126828 0,-82.888750714773607 36.845767876086654 0,-82.889092514707727 36.846134075527232 0,-82.889320581879304 36.84688947546897 0,-82.889320781528795 36.848056808974604 0,-82.889178581626197 36.848537609023481 0))",22539132,6/17/1999,Medium,1485901,North Fork Powell River,0.387,06010206000135,With Digitized,0,StreamRiver,46006,0.00366169,TRUE,0,0.00366169,20894,22539132,6/9/2012,6,2,2,470034544,470034550,470023295,470007574,2946.163,350002977,6.448,0,0,0,5,0,470007574,470027742,470007574,0,1,470013829,0,100,6.01E+12,0.387,46006,0,0,0,0,0,0,0,0.0945,9.144,9.144,0,nhdplus_waterline
